question,label
아니 탄소배출권 알려줘,O S-ECO O
아 탄소배출권 뜻 알려줘,O S-ECO O O
탄소배출권 무슨 말이야,S-ECO O O
탄소배출권 뭐임,S-ECO O
탄소배출권 가르쳐주세요,S-ECO O
탄소배출권 가르쳐줄래,S-ECO O
음 탄소배출권 알고싶어 ㅋㅋ,O S-ECO O O
탄소배출권 알려줄 수 있니,S-ECO O O O
탄소배출권 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
탄소배출권 뭐니 ㅋㅋㅋ,S-ECO O O
탄소배출권 뭐지,S-ECO O
있잖아 탄소배출권 뭐야,O S-ECO O
있잖아 탄소배출권 알려줘,O S-ECO O
있잖아 탄소배출권 가르쳐줘,O S-ECO O
있잖아 탄소배출권 가르쳐줄래,O S-ECO O
있잖아 탄소배출권 뜻 알려줘,O S-ECO O O
있잖아 탄소배출권 의미 알려줘,O S-ECO O O
저기 탄소배출권 알려줄래,O S-ECO O
저기 탄소배출권 뜻 알려줘,O S-ECO O O
저기 탄소배출권 뭐야,O S-ECO O
저기 탄소배출권 뜻 가르쳐줘,O S-ECO O O
탄소배출권 뭐예요,S-ECO O
탄소배출권 뜻 뭐죠,S-ECO O O
탄소배출권 뭔가요,S-ECO O
탄소배출권 알려주삼,S-ECO O
탄소세 뜻,S-ECO O
탄소세 뜻 뭐야,S-ECO O O
탄소세 알려줘,S-ECO O
탄소세 단어 알려줘,S-ECO O O
탄소세 용어 알려줘,S-ECO O O
탄소세 아니,S-ECO O
탄소세 아냐,S-ECO O
탄소세 알아,S-ECO O
탄소세 가르쳐줘,S-ECO O
탄소세 의미 뭐야,S-ECO O O
탄소세 의미,S-ECO O
탄소세 뭔지 알려줘,S-ECO O O
탄소세 무엇인지 알려줘,S-ECO O O
탄소세 무슨 뜻,S-ECO O O
탄소세 뭐야,S-ECO O
탄소세 뭘까,S-ECO O
탄소세 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
탄소세 알고싶어,S-ECO O
탄소세 뜻 알려주세요,S-ECO O O
그럼 탄소세 무슨 뜻,O S-ECO O O
그럼 탄소세 알려줘,O S-ECO O
그럼 탄소세 뜻 알려주라,O S-ECO O O
그럼 탄소세 알려줄래,O S-ECO O
그럼 탄소세 알고싶어,O S-ECO O
아니 탄소세 뭐냐고,O S-ECO O
아니 탄소세 알려줘,O S-ECO O
아 탄소세 뜻 알려줘,O S-ECO O O
탄소세 무슨 말이야,S-ECO O O
탄소세 뭐임,S-ECO O
탄소세 가르쳐주세요,S-ECO O
탄소세 가르쳐줄래,S-ECO O
음 탄소세 알고싶어 ㅋㅋ,O S-ECO O O
탄소세 알려줄 수 있니,S-ECO O O O
탄소세 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
탄소세 뭐니 ㅋㅋㅋ,S-ECO O O
탄소세 뭐지,S-ECO O
있잖아 탄소세 뭐야,O S-ECO O
있잖아 탄소세 알려줘,O S-ECO O
있잖아 탄소세 가르쳐줘,O S-ECO O
있잖아 탄소세 가르쳐줄래,O S-ECO O
있잖아 탄소세 뜻 알려줘,O S-ECO O O
있잖아 탄소세 의미 알려줘,O S-ECO O O
저기 탄소세 알려줄래,O S-ECO O
저기 탄소세 뜻 알려줘,O S-ECO O O
저기 탄소세 뭐야,O S-ECO O
저기 탄소세 뜻 가르쳐줘,O S-ECO O O
탄소세 뭐예요,S-ECO O
탄소세 뜻 뭐죠,S-ECO O O
탄소세 뭔가요,S-ECO O
탄소세 알려주삼,S-ECO O
탄소국경세 뜻,S-ECO O
탄소국경세 뜻 뭐야,S-ECO O O
탄소국경세 알려줘,S-ECO O
탄소국경세 단어 알려줘,S-ECO O O
탄소국경세 용어 알려줘,S-ECO O O
탄소국경세 아니,S-ECO O
탄소국경세 아냐,S-ECO O
탄소국경세 알아,S-ECO O
탄소국경세 가르쳐줘,S-ECO O
탄소국경세 의미 뭐야,S-ECO O O
탄소국경세 의미,S-ECO O
탄소국경세 뭔지 알려줘,S-ECO O O
탄소국경세 무엇인지 알려줘,S-ECO O O
탄소국경세 무슨 뜻,S-ECO O O
탄소국경세 뭐야,S-ECO O
탄소국경세 뭘까,S-ECO O
탄소국경세 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
탄소국경세 알고싶어,S-ECO O
탄소국경세 뜻 알려주세요,S-ECO O O
그럼 탄소국경세 무슨 뜻,O S-ECO O O
그럼 탄소국경세 알려줘,O S-ECO O
그럼 탄소국경세 뜻 알려주라,O S-ECO O O
그럼 탄소국경세 알려줄래,O S-ECO O
그럼 탄소국경세 알고싶어,O S-ECO O
아니 탄소국경세 뭐냐고,O S-ECO O
아니 탄소국경세 알려줘,O S-ECO O
아 탄소국경세 뜻 알려줘,O S-ECO O O
탄소국경세 무슨 말이야,S-ECO O O
탄소국경세 뭐임,S-ECO O
탄소국경세 가르쳐주세요,S-ECO O
탄소국경세 가르쳐줄래,S-ECO O
음 탄소국경세 알고싶어 ㅋㅋ,O S-ECO O O
탄소국경세 알려줄 수 있니,S-ECO O O O
탄소국경세 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
탄소국경세 뭐니 ㅋㅋㅋ,S-ECO O O
탄소국경세 뭐지,S-ECO O
있잖아 탄소국경세 뭐야,O S-ECO O
있잖아 탄소국경세 알려줘,O S-ECO O
있잖아 탄소국경세 가르쳐줘,O S-ECO O
있잖아 탄소국경세 가르쳐줄래,O S-ECO O
있잖아 탄소국경세 뜻 알려줘,O S-ECO O O
있잖아 탄소국경세 의미 알려줘,O S-ECO O O
저기 탄소국경세 알려줄래,O S-ECO O
저기 탄소국경세 뜻 알려줘,O S-ECO O O
저기 탄소국경세 뭐야,O S-ECO O
저기 탄소국경세 뜻 가르쳐줘,O S-ECO O O
탄소국경세 뭐예요,S-ECO O
탄소국경세 뜻 뭐죠,S-ECO O O
탄소국경세 뭔가요,S-ECO O
탄소국경세 알려주삼,S-ECO O
RE1OO 뜻,S-ECO O
RE1OO 뜻 뭐야,S-ECO O O
RE1OO 알려줘,S-ECO O
RE1OO 단어 알려줘,S-ECO O O
RE1OO 용어 알려줘,S-ECO O O
RE1OO 아니,S-ECO O
RE1OO 아냐,S-ECO O
RE1OO 알아,S-ECO O
RE1OO 가르쳐줘,S-ECO O
RE1OO 의미 뭐야,S-ECO O O
RE1OO 의미,S-ECO O
RE1OO 뭔지 알려줘,S-ECO O O
RE1OO 무엇인지 알려줘,S-ECO O O
RE1OO 무슨 뜻,S-ECO O O
RE1OO 뭐야,S-ECO O
RE1OO 뭘까,S-ECO O
RE1OO 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
RE1OO 알고싶어,S-ECO O
RE1OO 뜻 알려주세요,S-ECO O O
그럼 RE1OO 무슨 뜻,O S-ECO O O
그럼 RE1OO 알려줘,O S-ECO O
그럼 RE1OO 뜻 알려주라,O S-ECO O O
그럼 RE1OO 알려줄래,O S-ECO O
그럼 RE1OO 알고싶어,O S-ECO O
아니 RE1OO 뭐냐고,O S-ECO O
아니 RE1OO 알려줘,O S-ECO O
아 RE1OO 뜻 알려줘,O S-ECO O O
RE1OO 무슨 말이야,S-ECO O O
RE1OO 뭐임,S-ECO O
RE1OO 가르쳐주세요,S-ECO O
RE1OO 가르쳐줄래,S-ECO O
음 RE1OO 알고싶어 ㅋㅋ,O S-ECO O O
RE1OO 알려줄 수 있니,S-ECO O O O
RE1OO 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
RE1OO 뭐니 ㅋㅋㅋ,S-ECO O O
RE1OO 뭐지,S-ECO O
있잖아 RE1OO 뭐야,O S-ECO O
있잖아 RE1OO 알려줘,O S-ECO O
있잖아 RE1OO 가르쳐줘,O S-ECO O
있잖아 RE1OO 가르쳐줄래,O S-ECO O
있잖아 RE1OO 뜻 알려줘,O S-ECO O O
있잖아 RE1OO 의미 알려줘,O S-ECO O O
저기 RE1OO 알려줄래,O S-ECO O
저기 RE1OO 뜻 알려줘,O S-ECO O O
저기 RE1OO 뭐야,O S-ECO O
저기 RE1OO 뜻 가르쳐줘,O S-ECO O O
RE1OO 뭐예요,S-ECO O
RE1OO 뜻 뭐죠,S-ECO O O
RE1OO 뭔가요,S-ECO O
RE1OO 알려주삼,S-ECO O
탄소배출권거래제 뜻,S-ECO O
탄소배출권거래제 뜻 뭐야,S-ECO O O
탄소배출권거래제 알려줘,S-ECO O
탄소배출권거래제 단어 알려줘,S-ECO O O
탄소배출권거래제 용어 알려줘,S-ECO O O
탄소배출권거래제 아니,S-ECO O
탄소배출권거래제 아냐,S-ECO O
탄소배출권거래제 알아,S-ECO O
탄소배출권거래제 가르쳐줘,S-ECO O
탄소배출권거래제 의미 뭐야,S-ECO O O
탄소배출권거래제 의미,S-ECO O
탄소배출권거래제 뭔지 알려줘,S-ECO O O
탄소배출권거래제 무엇인지 알려줘,S-ECO O O
탄소배출권거래제 무슨 뜻,S-ECO O O
탄소배출권거래제 뭐야,S-ECO O
탄소배출권거래제 뭘까,S-ECO O
탄소배출권거래제 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
탄소배출권거래제 알고싶어,S-ECO O
탄소배출권거래제 뜻 알려주세요,S-ECO O O
그럼 탄소배출권거래제 무슨 뜻,O S-ECO O O
그럼 탄소배출권거래제 알려줘,O S-ECO O
그럼 탄소배출권거래제 뜻 알려주라,O S-ECO O O
그럼 탄소배출권거래제 알려줄래,O S-ECO O
그럼 탄소배출권거래제 알고싶어,O S-ECO O
아니 탄소배출권거래제 뭐냐고,O S-ECO O
아니 탄소배출권거래제 알려줘,O S-ECO O
아 탄소배출권거래제 뜻 알려줘,O S-ECO O O
탄소배출권거래제 무슨 말이야,S-ECO O O
탄소배출권거래제 뭐임,S-ECO O
탄소배출권거래제 가르쳐주세요,S-ECO O
탄소배출권거래제 가르쳐줄래,S-ECO O
음 탄소배출권거래제 알고싶어 ㅋㅋ,O S-ECO O O
탄소배출권거래제 알려줄 수 있니,S-ECO O O O
탄소배출권거래제 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
탄소배출권거래제 뭐니 ㅋㅋㅋ,S-ECO O O
탄소배출권거래제 뭐지,S-ECO O
있잖아 탄소배출권거래제 뭐야,O S-ECO O
있잖아 탄소배출권거래제 알려줘,O S-ECO O
있잖아 탄소배출권거래제 가르쳐줘,O S-ECO O
있잖아 탄소배출권거래제 가르쳐줄래,O S-ECO O
있잖아 탄소배출권거래제 뜻 알려줘,O S-ECO O O
있잖아 탄소배출권거래제 의미 알려줘,O S-ECO O O
저기 탄소배출권거래제 알려줄래,O S-ECO O
저기 탄소배출권거래제 뜻 알려줘,O S-ECO O O
저기 탄소배출권거래제 뭐야,O S-ECO O
저기 탄소배출권거래제 뜻 가르쳐줘,O S-ECO O O
탄소배출권거래제 뭐예요,S-ECO O
탄소배출권거래제 뜻 뭐죠,S-ECO O O
탄소배출권거래제 뭔가요,S-ECO O
탄소배출권거래제 알려주삼,S-ECO O
CSR 뜻,S-ECO O
CSR 뜻 뭐야,S-ECO O O
CSR 알려줘,S-ECO O
CSR 단어 알려줘,S-ECO O O
CSR 용어 알려줘,S-ECO O O
CSR 아니,S-ECO O
CSR 아냐,S-ECO O
CSR 알아,S-ECO O
CSR 가르쳐줘,S-ECO O
CSR 의미 뭐야,S-ECO O O
CSR 의미,S-ECO O
CSR 뭔지 알려줘,S-ECO O O
CSR 무엇인지 알려줘,S-ECO O O
CSR 무슨 뜻,S-ECO O O
CSR 뭐야,S-ECO O
CSR 뭘까,S-ECO O
CSR 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
CSR 알고싶어,S-ECO O
CSR 뜻 알려주세요,S-ECO O O
그럼 CSR 무슨 뜻,O S-ECO O O
그럼 CSR 알려줘,O S-ECO O
그럼 CSR 뜻 알려주라,O S-ECO O O
그럼 CSR 알려줄래,O S-ECO O
그럼 CSR 알고싶어,O S-ECO O
아니 CSR 뭐냐고,O S-ECO O
아니 CSR 알려줘,O S-ECO O
아 CSR 뜻 알려줘,O S-ECO O O
CSR 무슨 말이야,S-ECO O O
CSR 뭐임,S-ECO O
CSR 가르쳐주세요,S-ECO O
CSR 가르쳐줄래,S-ECO O
음 CSR 알고싶어 ㅋㅋ,O S-ECO O O
CSR 알려줄 수 있니,S-ECO O O O
CSR 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
CSR 뭐니 ㅋㅋㅋ,S-ECO O O
CSR 뭐지,S-ECO O
있잖아 CSR 뭐야,O S-ECO O
있잖아 CSR 알려줘,O S-ECO O
있잖아 CSR 가르쳐줘,O S-ECO O
있잖아 CSR 가르쳐줄래,O S-ECO O
있잖아 CSR 뜻 알려줘,O S-ECO O O
있잖아 CSR 의미 알려줘,O S-ECO O O
저기 CSR 알려줄래,O S-ECO O
저기 CSR 뜻 알려줘,O S-ECO O O
저기 CSR 뭐야,O S-ECO O
저기 CSR 뜻 가르쳐줘,O S-ECO O O
CSR 뭐예요,S-ECO O
CSR 뜻 뭐죠,S-ECO O O
CSR 뭔가요,S-ECO O
CSR 알려주삼,S-ECO O
푸드마일리지 뜻,S-ECO O
푸드마일리지 뜻 뭐야,S-ECO O O
푸드마일리지 알려줘,S-ECO O
푸드마일리지 단어 알려줘,S-ECO O O
푸드마일리지 용어 알려줘,S-ECO O O
푸드마일리지 아니,S-ECO O
푸드마일리지 아냐,S-ECO O
푸드마일리지 알아,S-ECO O
푸드마일리지 가르쳐줘,S-ECO O
푸드마일리지 의미 뭐야,S-ECO O O
푸드마일리지 의미,S-ECO O
푸드마일리지 뭔지 알려줘,S-ECO O O
푸드마일리지 무엇인지 알려줘,S-ECO O O
푸드마일리지 무슨 뜻,S-ECO O O
푸드마일리지 뭐야,S-ECO O
푸드마일리지 뭘까,S-ECO O
푸드마일리지 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
푸드마일리지 알고싶어,S-ECO O
푸드마일리지 뜻 알려주세요,S-ECO O O
그럼 푸드마일리지 무슨 뜻,O S-ECO O O
그럼 푸드마일리지 알려줘,O S-ECO O
그럼 푸드마일리지 뜻 알려주라,O S-ECO O O
그럼 푸드마일리지 알려줄래,O S-ECO O
그럼 푸드마일리지 알고싶어,O S-ECO O
아니 푸드마일리지 뭐냐고,O S-ECO O
아니 푸드마일리지 알려줘,O S-ECO O
아 푸드마일리지 뜻 알려줘,O S-ECO O O
푸드마일리지 무슨 말이야,S-ECO O O
푸드마일리지 뭐임,S-ECO O
푸드마일리지 가르쳐주세요,S-ECO O
푸드마일리지 가르쳐줄래,S-ECO O
음 푸드마일리지 알고싶어 ㅋㅋ,O S-ECO O O
푸드마일리지 알려줄 수 있니,S-ECO O O O
푸드마일리지 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
푸드마일리지 뭐니 ㅋㅋㅋ,S-ECO O O
푸드마일리지 뭐지,S-ECO O
있잖아 푸드마일리지 뭐야,O S-ECO O
있잖아 푸드마일리지 알려줘,O S-ECO O
있잖아 푸드마일리지 가르쳐줘,O S-ECO O
있잖아 푸드마일리지 가르쳐줄래,O S-ECO O
있잖아 푸드마일리지 뜻 알려줘,O S-ECO O O
있잖아 푸드마일리지 의미 알려줘,O S-ECO O O
저기 푸드마일리지 알려줄래,O S-ECO O
저기 푸드마일리지 뜻 알려줘,O S-ECO O O
저기 푸드마일리지 뭐야,O S-ECO O
저기 푸드마일리지 뜻 가르쳐줘,O S-ECO O O
푸드마일리지 뭐예요,S-ECO O
푸드마일리지 뜻 뭐죠,S-ECO O O
푸드마일리지 뭔가요,S-ECO O
푸드마일리지 알려주삼,S-ECO O
로컬푸드 뜻,S-ECO O
로컬푸드 뜻 뭐야,S-ECO O O
로컬푸드 알려줘,S-ECO O
로컬푸드 단어 알려줘,S-ECO O O
로컬푸드 용어 알려줘,S-ECO O O
로컬푸드 아니,S-ECO O
로컬푸드 아냐,S-ECO O
로컬푸드 알아,S-ECO O
로컬푸드 가르쳐줘,S-ECO O
로컬푸드 의미 뭐야,S-ECO O O
로컬푸드 의미,S-ECO O
로컬푸드 뭔지 알려줘,S-ECO O O
로컬푸드 무엇인지 알려줘,S-ECO O O
로컬푸드 무슨 뜻,S-ECO O O
로컬푸드 뭐야,S-ECO O
로컬푸드 뭘까,S-ECO O
로컬푸드 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
로컬푸드 알고싶어,S-ECO O
로컬푸드 뜻 알려주세요,S-ECO O O
그럼 로컬푸드 무슨 뜻,O S-ECO O O
그럼 로컬푸드 알려줘,O S-ECO O
그럼 로컬푸드 뜻 알려주라,O S-ECO O O
그럼 로컬푸드 알려줄래,O S-ECO O
그럼 로컬푸드 알고싶어,O S-ECO O
아니 로컬푸드 뭐냐고,O S-ECO O
아니 로컬푸드 알려줘,O S-ECO O
아 로컬푸드 뜻 알려줘,O S-ECO O O
로컬푸드 무슨 말이야,S-ECO O O
로컬푸드 뭐임,S-ECO O
로컬푸드 가르쳐주세요,S-ECO O
로컬푸드 가르쳐줄래,S-ECO O
음 로컬푸드 알고싶어 ㅋㅋ,O S-ECO O O
로컬푸드 알려줄 수 있니,S-ECO O O O
로컬푸드 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
로컬푸드 뭐니 ㅋㅋㅋ,S-ECO O O
로컬푸드 뭐지,S-ECO O
있잖아 로컬푸드 뭐야,O S-ECO O
있잖아 로컬푸드 알려줘,O S-ECO O
있잖아 로컬푸드 가르쳐줘,O S-ECO O
있잖아 로컬푸드 가르쳐줄래,O S-ECO O
있잖아 로컬푸드 뜻 알려줘,O S-ECO O O
있잖아 로컬푸드 의미 알려줘,O S-ECO O O
저기 로컬푸드 알려줄래,O S-ECO O
저기 로컬푸드 뜻 알려줘,O S-ECO O O
저기 로컬푸드 뭐야,O S-ECO O
저기 로컬푸드 뜻 가르쳐줘,O S-ECO O O
로컬푸드 뭐예요,S-ECO O
로컬푸드 뜻 뭐죠,S-ECO O O
로컬푸드 뭔가요,S-ECO O
로컬푸드 알려주삼,S-ECO O
그린뉴딜 뜻,S-ECO O
그린뉴딜 뜻 뭐야,S-ECO O O
그린뉴딜 알려줘,S-ECO O
그린뉴딜 단어 알려줘,S-ECO O O
그린뉴딜 용어 알려줘,S-ECO O O
그린뉴딜 아니,S-ECO O
그린뉴딜 아냐,S-ECO O
그린뉴딜 알아,S-ECO O
그린뉴딜 가르쳐줘,S-ECO O
그린뉴딜 의미 뭐야,S-ECO O O
그린뉴딜 의미,S-ECO O
그린뉴딜 뭔지 알려줘,S-ECO O O
그린뉴딜 무엇인지 알려줘,S-ECO O O
그린뉴딜 무슨 뜻,S-ECO O O
그린뉴딜 뭐야,S-ECO O
그린뉴딜 뭘까,S-ECO O
그린뉴딜 뜻 뭐야 ㅋㅋㅋ,S-ECO O O O
그린뉴딜 알고싶어,S-ECO O
그린뉴딜 뜻 알려주세요,S-ECO O O
그럼 그린뉴딜 무슨 뜻,O S-ECO O O
그럼 그린뉴딜 알려줘,O S-ECO O
그럼 그린뉴딜 뜻 알려주라,O S-ECO O O
그럼 그린뉴딜 알려줄래,O S-ECO O
그럼 그린뉴딜 알고싶어,O S-ECO O
아니 그린뉴딜 뭐냐고,O S-ECO O
아니 그린뉴딜 알려줘,O S-ECO O
아 그린뉴딜 뜻 알려줘,O S-ECO O O
그린뉴딜 무슨 말이야,S-ECO O O
그린뉴딜 뭐임,S-ECO O
그린뉴딜 가르쳐주세요,S-ECO O
그린뉴딜 가르쳐줄래,S-ECO O
음 그린뉴딜 알고싶어 ㅋㅋ,O S-ECO O O
그린뉴딜 알려줄 수 있니,S-ECO O O O
그린뉴딜 무슨 뜻이냐 ㅎㅎ,S-ECO O O O
그린뉴딜 뭐니 ㅋㅋㅋ,S-ECO O O
그린뉴딜 뭐지,S-ECO O
있잖아 그린뉴딜 뭐야,O S-ECO O
있잖아 그린뉴딜 알려줘,O S-ECO O
